,County,Year,AgeAdjustedRate,CaseCount,Population
1,DuPage County,2012-2016,51.8,2643,4657275
28,Cook County,2012-2016,59.3,16642,26218615
46,Franklin County,2012-2016,108.8,312,197320
82,Peoria County,2012-2016,83.1,934,934904
