Area,County,CancerType,Year,Sex,AgeAdjustedRate,lci,uci,CaseCount,Population
'Illinois','Piatt County','Lung and Bronchus','2012-2016','Male and Female','72.3','57.3','90.5','83','82222'
'Illinois','Randolph County','Lung and Bronchus','2012-2016','Male and Female','78.3','66.9','91.2','174','164791'
'Illinois','St. Clair County','Lung and Bronchus','2012-2016','Male and Female','77.9','73.5','82.6','1189','1328298'
'Illinois','Washington County','Lung and Bronchus','2012-2016','Male and Female','64.8','50.1','83.1','67','71869'
'Illinois','Whiteside County','Lung and Bronchus','2012-2016','Male and Female','61.6','54.2','69.9','256','285761'
'Illinois','Will County','Lung and Bronchus','2012-2016','Male and Female','65.9','63.1','68.9','2119','3428405'
'Illinois','Jasper County','Lung and Bronchus','2012-2016','Male and Female','73.7','54.3','98.6','51','48121'
'Illinois','Jersey County','Lung and Bronchus','2012-2016','Male and Female','68.5','56.1','83.3','107','111806'
'Illinois','McDonough County','Lung and Bronchus','2012-2016','Male and Female','74.2','62.3','88','143','159702'
'Illinois','Rock Island County','Lung and Bronchus','2012-2016','Male and Female','64.1','59.1','69.4','634','733805'
'Illinois','Shelby County','Lung and Bronchus','2012-2016','Male and Female','78.9','66','94.1','135','110020'
'Illinois','Perry County','Lung and Bronchus','2012-2016','Male and Female','71.3','57.9','87.2','101','107887'
'Illinois','Moultrie County','Lung and Bronchus','2012-2016','Male and Female','68.4','52.6','87.8','65','73732'
'Illinois','Kendall County','Lung and Bronchus','2012-2016','Male and Female','60.8','53.5','68.7','273','606693'
'Illinois','Bond County','Lung and Bronchus','2012-2016','Male and Female','68.0','53.5','85.6','77','85754'
'Illinois','White County','Lung and Bronchus','2012-2016','Male and Female','88.8','71.8','109.3','99','71512'
'Illinois','Menard County','Lung and Bronchus','2012-2016','Male and Female','87.1','68.1','110.2','76','62523'
'Illinois','Saline County','Lung and Bronchus','2012-2016','Male and Female','84.4','71.3','99.5','151','122956'
'Illinois','Williamson County','Lung and Bronchus','2012-2016','Male and Female','94.3','85.5','103.9','431','336816'
'Illinois','Putnam County','Lung and Bronchus','2012-2016','Male and Female','87.6','62.8','121.2','42','29035'
'Illinois','Vermilion County','Lung and Bronchus','2012-2016','Male and Female','90.7','82.7','99.3','493','398948'
'Illinois','Mercer County','Lung and Bronchus','2012-2016','Male and Female','80.1','64.8','98.4','99','79517'
'Illinois','Peoria County','Lung and Bronchus','2012-2016','Male and Female','83.1','77.7','88.7','934','934904'
'Illinois','Sangamon County','Lung and Bronchus','2012-2016','Male and Female','80.9','75.9','86.2','1008','993539'
'Illinois','Schuyler County','Lung and Bronchus','2012-2016','Male and Female','95.0','70.6','126.5','53','36323'
'Illinois','Scott County','Lung and Bronchus','2012-2016','Male and Female','84.7','58.3','121.1','33','25830'
'Illinois','Union County','Lung and Bronchus','2012-2016','Male and Female','94.5','78.5','113.2','127','86944'
'Illinois','Mason County','Lung and Bronchus','2012-2016','Male and Female','103.6','84.9','125.8','111','70124'
'Illinois','Madison County','Lung and Bronchus','2012-2016','Male and Female','81.6','77.3','86.2','1365','1333363'
