Area,County,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
'Georgia','Taliaferro County','Lung and Bronchus','2012-2016','Male and Female','Data Suppressed','Data Suppressed','8330'
'Georgia','Wayne County','Lung and Bronchus','2012-2016','Male and Female','73.9','129','149679'
'Georgia','Warren County','Lung and Bronchus','2012-2016','Male and Female','77.4','32','27292'
'Georgia','Towns County','Lung and Bronchus','2012-2016','Male and Female','73.5','85','54918'
'Georgia','Washington County','Lung and Bronchus','2012-2016','Male and Female','70.2','89','103012'
'Georgia','Upson County','Lung and Bronchus','2012-2016','Male and Female','80.2','147','131643'
'Georgia','Toombs County','Lung and Bronchus','2012-2016','Male and Female','77.0','126','135995'
'Georgia','Troup County','Lung and Bronchus','2012-2016','Male and Female','74.3','285','345683'
'Georgia','Miller County','Lung and Bronchus','2012-2016','Male and Female','87.3','36','29591'
'Georgia','Richmond County','Lung and Bronchus','2012-2016','Male and Female','70.2','746','1007628'
'Georgia','Heard County','Lung and Bronchus','2012-2016','Male and Female','105.7','81','57956'
'Georgia','Jasper County','Lung and Bronchus','2012-2016','Male and Female','74.8','66','68346'
'Georgia','Peach County','Lung and Bronchus','2012-2016','Male and Female','77.5','121','135715'
'Georgia','Spalding County','Lung and Bronchus','2012-2016','Male and Female','78.9','318','319261'
'Georgia','Tattnall County','Lung and Bronchus','2012-2016','Male and Female','71.1','101','127153'
'Georgia','Putnam County','Lung and Bronchus','2012-2016','Male and Female','73.7','123','106595'
'Georgia','Screven County','Lung and Bronchus','2012-2016','Male and Female','79.5','76','70402'
'Georgia','Seminole County','Lung and Bronchus','2012-2016','Male and Female','76.0','53','43322'
'Georgia','Taylor County','Lung and Bronchus','2012-2016','Male and Female','76.3','46','41550'
'Georgia','Stephens County','Lung and Bronchus','2012-2016','Male and Female','79.7','143','127968'
'Georgia','Mitchell County','Lung and Bronchus','2012-2016','Male and Female','73.9','103','113662'
'Georgia','Polk County','Lung and Bronchus','2012-2016','Male and Female','100.6','254','206267'
'Georgia','Newton County','Lung and Bronchus','2012-2016','Male and Female','75.9','373','518134'
'Georgia','Madison County','Lung and Bronchus','2012-2016','Male and Female','87.4','161','141722'
'Georgia','Pickens County','Lung and Bronchus','2012-2016','Male and Female','84.6','191','149407'
'Georgia','Pierce County','Lung and Bronchus','2012-2016','Male and Female','82.6','99','95312'
'Georgia','Murray County','Lung and Bronchus','2012-2016','Male and Female','86.5','195','196809'
'Georgia','Lanier County','Lung and Bronchus','2012-2016','Male and Female','78.8','41','51977'
'Georgia','Laurens County','Lung and Bronchus','2012-2016','Male and Female','79.3','240','237684'
'Georgia','Jenkins County','Lung and Bronchus','2012-2016','Male and Female','71.0','40','44996'
'Georgia','Lumpkin County','Lung and Bronchus','2012-2016','Male and Female','74.4','139','155696'
'Georgia','McDuffie County','Lung and Bronchus','2012-2016','Male and Female','65.8','91','107574'
'Georgia','Lincoln County','Lung and Bronchus','2012-2016','Male and Female','69.4','45','38720'
'Georgia','Jones County','Lung and Bronchus','2012-2016','Male and Female','83.4','150','142852'
'Georgia','Lee County','Lung and Bronchus','2012-2016','Male and Female','93.8','125','145322'
'Georgia','McIntosh County','Lung and Bronchus','2012-2016','Male and Female','61.8','72','70079'
'Georgia','Lowndes County','Lung and Bronchus','2012-2016','Male and Female','61.3','321','568327'
'Georgia','Monroe County','Lung and Bronchus','2012-2016','Male and Female','86.5','150','133239'
'Georgia','Paulding County','Lung and Bronchus','2012-2016','Male and Female','77.2','476','747307'
'Georgia','Jackson County','Lung and Bronchus','2012-2016','Male and Female','77.8','280','312593'
'Georgia','Liberty County','Lung and Bronchus','2012-2016','Male and Female','80.1','165','313545'
'Georgia','Long County','Lung and Bronchus','2012-2016','Male and Female','77.5','50','86395'
'Georgia','Greene County','Lung and Bronchus','2012-2016','Male and Female','61.8','88','82534'
'Georgia','Hart County','Lung and Bronchus','2012-2016','Male and Female','63.9','124','127410'
'Georgia','Irwin County','Lung and Bronchus','2012-2016','Male and Female','87.0','53','46599'
'Georgia','Lamar County','Lung and Bronchus','2012-2016','Male and Female','79.0','88','90836'
'Georgia','Glascock County','Lung and Bronchus','2012-2016','Male and Female','84.4','17','15178'
'Georgia','Jeff Davis County','Lung and Bronchus','2012-2016','Male and Female','72.5','63','75170'
